Student_ID,Study_Hours_Per_Day,Extracurricular_Hours_Per_Day,Sleep_Hours_Per_Day,Social_Hours_Per_Day,Physical_Activity_Hours_Per_Day,GPA,Stress_Level,Total_Productivity_Hours
419,9.90,0.40,7.10,0.30,6.30,3.55,High,16.90
420,6.40,3.40,6.50,5.50,2.20,3.00,Moderate,17.50
421,8.80,3.20,5.10,5.80,1.10,3.13,High,18.90
422,9.10,1.10,9.40,0.50,3.90,3.58,High,14.60
423,8.50,2.20,5.50,1.50,6.30,3.27,High,18.50
424,6.50,2.40,6.50,1.80,6.80,2.91,Moderate,17.50
425,8.70,0.20,9.50,4.80,0.80,3.50,High,14.50
426,9.50,0.70,5.40,1.40,7.00,3.77,High,18.60
427,9.00,0.10,7.90,6.00,1.00,3.36,High,16.10
428,5.30,3.30,8.00,0.70,6.70,3.03,Low,16.00
429,5.50,3.60,8.30,5.00,1.60,2.86,Low,15.70
430,7.60,1.70,6.60,2.60,5.50,3.34,Moderate,17.40
431,8.90,2.40,9.50,1.40,1.80,3.66,High,14.50
432,8.00,2.80,6.20,3.10,3.90,3.46,Moderate,17.80
433,5.50,1.50,7.40,3.90,5.70,2.85,Low,16.60
434,8.70,2.00,8.20,0.40,4.70,3.42,High,15.80
435,6.30,1.40,7.40,0.30,8.60,2.86,Moderate,16.60
436,9.90,1.30,7.40,1.10,4.30,3.35,High,16.60
437,8.10,1.10,6.00,3.10,5.70,3.15,High,18.00
438,9.00,2.30,7.60,1.50,3.60,3.20,High,16.40
439,9.70,1.60,5.40,3.70,3.60,3.39,High,18.60
440,7.50,3.50,7.50,3.90,1.60,2.97,Moderate,16.50
441,10.00,0.50,6.40,2.40,4.70,3.14,High,17.60
442,9.50,2.90,8.00,1.10,2.50,3.11,High,16.00
443,9.10,3.80,9.10,0.00,2.00,3.27,High,14.90
444,6.30,0.20,8.00,4.10,5.40,2.97,Moderate,16.00
445,5.60,1.50,7.30,2.20,7.40,2.80,Low,16.70
446,8.80,0.30,5.40,2.10,7.40,3.12,High,18.60
447,9.70,2.70,8.40,1.20,2.00,3.44,High,15.60
448,8.20,3.70,8.10,3.50,0.50,3.23,High,15.90
449,8.60,0.50,9.50,0.40,5.00,3.06,High,14.50
450,5.10,1.70,6.50,2.90,7.80,2.79,Low,17.50
451,7.90,0.20,5.60,3.40,6.90,3.44,High,18.40
452,8.30,3.40,8.50,1.60,2.20,3.07,High,15.50
453,8.40,1.10,6.50,4.70,3.30,3.54,High,17.50
454,9.10,3.40,9.60,0.80,1.10,3.31,High,14.40
455,6.60,2.30,6.90,3.60,4.60,3.20,Moderate,17.10
456,6.90,0.70,7.20,0.90,8.30,3.26,Moderate,16.80
457,9.50,1.40,5.80,0.20,7.10,3.69,High,18.20
458,6.70,0.30,7.00,1.90,8.10,3.28,Moderate,17.00
459,8.40,2.40,6.80,1.30,5.10,3.25,High,17.20
460,8.40,0.60,7.40,0.20,7.40,3.32,High,16.60
461,7.50,3.90,6.90,0.20,5.50,3.11,Moderate,17.10
462,5.80,0.10,8.80,2.80,6.50,2.80,Low,15.20
463,6.40,3.60,5.60,5.70,2.70,3.10,High,18.40
464,8.00,3.30,9.90,0.80,2.00,3.13,Moderate,14.10
465,9.80,1.60,6.90,1.90,3.80,3.23,High,17.10
466,7.80,2.20,8.80,4.30,0.90,3.20,Moderate,15.20
467,7.20,1.20,6.30,1.20,8.10,3.05,Moderate,17.70
468,6.40,3.90,7.80,2.00,3.90,2.87,Moderate,16.20
469,7.90,0.60,7.20,3.80,4.50,2.68,Moderate,16.80
470,10.00,3.50,8.10,1.40,1.00,3.44,High,15.90
471,8.10,0.80,7.00,0.20,7.90,3.74,High,17.00
472,6.10,3.90,9.50,3.20,1.30,2.61,Moderate,14.50
473,7.70,3.50,5.70,4.70,2.40,3.21,High,18.30
474,6.40,3.50,9.70,0.70,3.70,2.89,Moderate,14.30
475,7.30,3.90,7.40,4.70,0.70,2.74,Moderate,16.60
476,6.40,0.80,8.80,2.30,5.70,3.21,Moderate,15.20
477,7.60,2.00,7.90,5.20,1.30,3.13,Moderate,16.10
478,9.10,3.10,7.90,3.70,0.20,3.42,High,16.10
479,6.00,0.40,9.30,2.60,5.70,3.02,Moderate,14.70
480,8.10,3.70,5.10,2.90,4.20,2.63,High,18.90
481,8.40,2.90,8.50,0.60,3.60,3.07,High,15.50
482,9.00,1.10,6.10,5.70,2.10,3.07,High,17.90
483,5.00,4.00,8.40,5.00,1.60,2.90,Low,15.60
484,8.70,0.60,8.80,4.50,1.40,3.41,High,15.20
485,8.30,3.10,9.20,2.10,1.30,3.24,High,14.80
486,5.40,1.60,7.00,0.40,9.60,2.63,Low,17.00
487,6.70,0.40,9.00,5.70,2.20,2.63,Moderate,15.00
488,5.40,2.00,9.00,4.20,3.40,2.85,Low,15.00
489,5.30,0.30,7.00,1.80,9.60,2.64,Low,17.00
490,9.00,3.70,7.00,3.90,0.40,3.16,High,17.00
491,6.60,1.90,6.10,3.80,5.60,3.00,Moderate,17.90
492,6.80,2.60,5.60,5.30,3.70,3.08,High,18.40
493,7.50,1.80,7.90,3.70,3.10,3.17,Moderate,16.10
494,6.20,2.90,9.10,4.70,1.10,2.83,Moderate,14.90
495,7.80,2.10,5.70,4.70,3.70,3.16,High,18.30
496,6.40,0.50,8.10,0.30,8.70,2.61,Moderate,15.90
497,8.70,1.30,5.00,3.10,5.90,3.24,High,19.00
498,9.20,0.00,6.20,4.40,4.20,3.41,High,17.80
499,6.60,0.40,6.80,1.60,8.60,2.89,Moderate,17.20
500,8.90,3.60,7.20,3.90,0.40,3.51,High,16.80
501,6.90,3.90,5.40,4.10,3.70,2.55,High,18.60
502,8.20,2.80,5.00,1.00,7.00,3.20,High,19.00
503,8.60,2.70,9.80,2.20,0.70,3.31,High,14.20
504,6.50,0.40,8.90,3.90,4.30,3.01,Moderate,15.10
505,5.20,1.40,9.80,3.00,4.60,2.49,Low,14.20
506,6.00,1.50,6.80,0.30,9.40,2.44,Moderate,17.20
507,8.80,1.70,9.10,3.70,0.70,3.44,High,14.90
508,7.40,3.50,6.10,4.10,2.90,2.88,Moderate,17.90
509,8.00,1.20,5.70,3.90,5.20,3.03,High,18.30
510,8.20,1.60,8.60,1.10,4.50,3.46,High,15.40
511,9.50,1.10,6.80,0.30,6.30,3.43,High,17.20
512,6.30,3.30,5.10,2.30,7.00,2.74,High,18.90
513,6.70,0.10,5.60,2.50,9.10,2.49,High,18.40
514,7.70,2.40,5.00,2.80,6.10,3.12,High,19.00
515,9.80,2.10,8.40,1.20,2.50,3.61,High,15.60
516,7.60,3.90,5.60,0.10,6.80,3.28,High,18.40
517,8.90,3.20,5.60,1.60,4.70,3.36,High,18.40
518,6.70,1.50,5.00,1.80,9.00,3.31,High,19.00
519,8.20,3.90,9.20,0.10,2.60,3.26,High,14.80
520,8.90,1.80,7.00,1.80,4.50,3.38,High,17.00
521,5.30,0.90,6.20,2.90,8.70,2.76,Low,17.80
522,5.30,3.80,9.70,4.10,1.10,3.13,Low,14.30
523,10.00,2.20,9.80,0.20,1.80,3.25,High,14.20
524,6.00,0.60,8.10,4.70,4.60,2.78,Moderate,15.90
525,7.90,0.60,9.10,3.80,2.60,3.50,Moderate,14.90
526,6.30,1.40,9.60,1.70,5.00,2.74,Moderate,14.40
527,7.30,3.60,8.50,0.30,4.30,2.93,Moderate,15.50
528,5.70,3.80,7.60,1.50,5.40,3.27,Low,16.40
529,7.50,2.70,5.40,1.60,6.80,3.09,High,18.60
530,7.70,1.70,5.20,1.00,8.40,3.43,High,18.80
531,7.20,0.80,5.20,5.10,5.70,2.99,High,18.80
532,9.80,0.80,9.80,3.60,0.00,3.59,High,14.20
533,8.60,3.90,7.80,1.00,2.70,3.69,High,16.20
534,5.40,2.50,9.90,1.10,5.10,2.54,Low,14.10
535,9.00,3.60,9.70,1.60,0.10,3.44,High,14.30
536,8.80,0.60,7.40,4.30,2.90,3.32,High,16.60
537,6.20,2.60,8.30,1.00,5.90,3.23,Moderate,15.70
538,7.50,0.00,5.00,2.10,9.40,3.20,High,19.00
539,9.60,0.90,8.20,1.20,4.10,3.62,High,15.80
540,8.60,0.40,7.10,0.20,7.70,3.20,High,16.90
541,7.40,2.60,5.60,1.70,6.70,3.26,High,18.40
542,10.00,0.20,8.80,1.90,3.10,3.46,High,15.20
543,7.00,3.00,9.60,4.20,0.20,2.68,Moderate,14.40
544,8.90,1.00,7.80,2.20,4.10,3.54,High,16.20
545,8.30,1.00,6.00,5.50,3.20,3.25,High,18.00
546,6.10,0.20,5.20,1.10,11.40,2.72,High,18.80
547,9.30,1.10,9.80,2.20,1.60,3.79,High,14.20
548,7.60,3.00,6.40,2.10,4.90,2.83,Moderate,17.60
549,9.50,3.80,9.50,0.50,0.70,3.40,High,14.50
550,7.50,0.80,8.00,1.10,6.60,3.43,Moderate,16.00
551,6.70,3.40,6.00,0.40,7.50,2.48,Moderate,18.00
552,9.10,3.30,6.70,3.40,1.50,3.40,High,17.30
553,8.90,2.60,5.80,5.30,1.40,2.98,High,18.20
554,7.10,0.20,5.60,4.60,6.50,3.13,High,18.40
555,5.00,1.70,7.60,0.30,9.40,2.53,Low,16.40
556,6.20,0.00,8.60,5.80,3.40,2.71,Moderate,15.40
557,6.10,2.70,8.70,5.10,1.40,2.57,Moderate,15.30
558,6.60,2.90,9.10,1.00,4.40,2.85,Moderate,14.90
559,6.90,3.60,9.00,4.40,0.10,2.92,Moderate,15.00
560,8.00,2.60,5.40,3.30,4.70,3.48,High,18.60
561,8.50,0.70,8.90,3.40,2.50,3.41,High,15.10
562,6.50,2.90,8.80,0.60,5.20,2.67,Moderate,15.20
563,7.60,2.00,6.80,5.60,2.00,3.25,Moderate,17.20
564,8.60,1.80,9.60,2.80,1.20,3.47,High,14.40
565,8.60,3.40,6.40,4.50,1.10,3.18,High,17.60
566,6.70,3.90,9.30,2.90,1.20,2.78,Moderate,14.70
567,8.60,2.20,9.70,1.70,1.80,3.07,High,14.30
568,8.90,2.90,6.90,0.10,5.20,3.26,High,17.10
569,9.20,0.00,8.50,5.80,0.50,3.08,High,15.50
570,8.50,3.30,7.70,4.40,0.10,3.20,High,16.30
571,5.30,2.00,8.60,5.20,2.90,2.89,Low,15.40
572,7.80,1.60,5.70,5.20,3.70,3.06,High,18.30
573,5.80,1.20,6.50,5.20,5.30,3.08,Low,17.50
574,6.30,2.50,7.90,5.00,2.30,3.07,Moderate,16.10
575,9.50,0.00,8.40,0.30,5.80,3.07,High,15.60
576,6.50,1.40,8.10,2.00,6.00,3.06,Moderate,15.90
577,8.70,1.60,5.30,4.70,3.70,3.20,High,18.70
578,8.40,1.30,5.30,2.20,6.80,2.92,High,18.70
579,9.70,2.60,8.40,2.10,1.20,3.38,High,15.60
580,8.80,0.40,6.40,1.70,6.70,3.05,High,17.60
581,7.20,3.90,5.30,3.10,4.50,3.03,High,18.70
582,8.70,2.80,7.10,1.90,3.50,3.12,High,16.90
583,7.00,1.10,6.00,2.90,7.00,2.87,Moderate,18.00
584,8.30,3.90,8.00,0.30,3.50,3.04,High,16.00
585,5.40,3.80,6.50,0.60,7.70,3.14,Low,17.50
586,8.20,1.10,5.10,5.80,3.80,3.50,High,18.90
587,6.30,2.70,8.50,3.70,2.80,2.72,Moderate,15.50
588,8.00,3.50,9.70,0.30,2.50,3.02,Moderate,14.30
589,5.80,3.80,8.70,5.00,0.70,2.95,Low,15.30
590,8.50,2.70,7.00,0.10,5.70,3.01,High,17.00
591,7.90,1.00,7.30,5.70,2.10,3.41,Moderate,16.70
592,5.90,2.70,9.90,0.60,4.90,2.82,Low,14.10
593,5.00,1.70,5.50,4.50,7.30,2.72,High,18.50
594,6.30,1.70,8.60,0.10,7.30,3.11,Moderate,15.40
595,7.90,2.50,8.20,1.30,4.10,3.08,Moderate,15.80
596,6.00,3.50,8.70,0.10,5.70,2.95,Moderate,15.30
597,6.20,0.90,6.40,1.50,9.00,2.92,Moderate,17.60
598,8.70,2.40,8.40,0.40,4.10,3.16,High,15.60
599,9.80,3.40,9.00,1.50,0.30,3.49,High,15.00
600,6.00,2.50,8.70,4.40,2.40,3.05,Moderate,15.30
601,7.60,0.30,6.90,5.50,3.70,3.35,Moderate,17.10
602,6.30,1.50,9.50,4.00,2.70,3.42,Moderate,14.50
603,8.90,1.80,8.20,1.30,3.80,3.21,High,15.80
604,7.20,2.60,9.70,0.30,4.20,3.42,Moderate,14.30
605,9.10,1.20,7.20,0.10,6.40,3.37,High,16.80
606,5.30,2.00,9.60,0.60,6.50,2.41,Low,14.40
607,8.80,1.60,8.30,1.40,3.90,3.26,High,15.70
608,5.40,0.70,8.30,5.30,4.30,2.75,Low,15.70
609,9.10,2.70,5.60,1.70,4.90,3.15,High,18.40
610,7.60,2.10,6.80,2.10,5.40,2.97,Moderate,17.20
611,9.10,3.20,6.50,4.80,0.40,3.34,High,17.50
612,6.80,2.00,9.70,4.80,0.70,3.09,Moderate,14.30
613,5.50,1.60,7.80,3.00,6.10,2.90,Low,16.20
614,8.40,3.40,9.30,2.20,0.70,3.20,High,14.70
615,7.20,2.40,5.80,4.00,4.60,3.19,High,18.20
616,6.10,0.50,5.80,0.00,11.60,2.73,High,18.20
617,8.60,2.90,7.60,0.80,4.10,3.15,High,16.40
618,5.50,0.90,7.60,3.60,6.40,2.57,Low,16.40
619,6.20,0.20,7.00,1.40,9.20,3.13,Moderate,17.00
620,7.10,1.70,7.70,4.20,3.30,3.48,Moderate,16.30
621,8.50,0.70,7.50,2.50,4.80,3.34,High,16.50
622,7.70,0.50,8.00,0.70,7.10,3.34,Moderate,16.00
623,6.70,0.60,8.50,1.20,7.00,3.18,Moderate,15.50
624,6.00,2.00,7.10,0.10,8.80,2.85,Moderate,16.90
625,9.00,0.30,7.40,3.40,3.90,3.64,High,16.60
626,6.30,0.00,8.60,3.20,5.90,3.14,Moderate,15.40
627,9.20,3.30,9.20,1.10,1.20,3.60,High,14.80
628,7.30,0.70,9.30,5.30,1.40,2.97,Moderate,14.70
629,7.30,0.30,6.90,4.80,4.70,3.09,Moderate,17.10
630,5.30,3.50,6.90,3.30,5.00,2.81,Low,17.10
631,9.80,0.30,8.20,0.40,5.30,3.71,High,15.80
632,7.20,4.00,7.80,1.60,3.40,2.98,Moderate,16.20
633,6.10,1.40,6.90,0.40,9.20,2.79,Moderate,17.10
634,8.60,2.60,8.50,0.00,4.30,2.85,High,15.50
635,6.10,2.60,7.40,0.00,7.90,3.03,Moderate,16.60
636,7.70,0.30,8.80,3.50,3.70,3.29,Moderate,15.20
637,8.90,3.00,9.00,1.60,1.50,3.42,High,15.00
638,8.10,3.00,5.80,1.20,5.90,3.04,High,18.20
639,9.50,3.00,9.50,1.50,0.50,3.76,High,14.50
640,9.40,2.30,8.20,0.60,3.50,3.62,High,15.80
641,7.40,2.90,6.40,1.20,6.10,2.89,Moderate,17.60
642,6.10,1.70,9.50,3.00,3.70,2.76,Moderate,14.50
643,5.90,0.30,8.50,2.30,7.00,2.99,Low,15.50
644,9.00,1.10,8.50,1.40,4.00,3.56,High,15.50
645,9.70,2.50,6.60,1.40,3.80,3.57,High,17.40
646,6.10,2.40,6.30,4.00,5.20,2.73,Moderate,17.70
647,9.10,3.10,8.80,0.60,2.40,3.42,High,15.20
648,6.80,1.70,5.20,1.60,8.70,2.91,High,18.80
649,5.20,3.50,6.20,3.30,5.80,2.80,Low,17.80
650,6.60,3.60,9.40,1.40,3.00,2.94,Moderate,14.60
651,9.50,4.00,9.10,1.20,0.20,3.52,High,14.90
652,5.30,0.40,10.00,2.00,6.30,2.49,Low,14.00
653,8.70,3.20,9.30,2.80,0.00,3.10,High,14.70
654,5.10,1.40,8.90,3.40,5.20,2.72,Low,15.10
655,6.60,2.60,6.20,0.10,8.50,3.11,Moderate,17.80
656,8.80,0.20,9.20,3.60,2.20,3.59,High,14.80
657,7.80,2.50,9.30,2.60,1.80,3.20,Moderate,14.70
658,8.80,1.80,8.50,1.90,3.00,3.32,High,15.50
659,6.10,2.40,9.60,5.50,0.40,2.99,Moderate,14.40
660,6.10,4.00,9.90,2.60,1.40,2.49,Moderate,14.10
661,9.00,2.90,8.00,0.20,3.90,3.74,High,16.00
662,8.40,1.50,9.70,0.70,3.70,3.16,High,14.30
663,7.50,2.80,8.50,3.40,1.80,2.98,Moderate,15.50
664,8.20,2.40,5.90,4.20,3.30,3.13,High,18.10
665,7.30,2.70,9.20,0.80,4.00,3.41,Moderate,14.80
666,9.20,3.20,9.80,1.00,0.80,3.55,High,14.20
667,7.40,1.60,5.80,3.40,5.80,3.19,High,18.20
668,7.90,2.40,6.80,0.30,6.60,3.14,Moderate,17.20
669,5.20,1.70,5.40,3.60,8.10,2.55,High,18.60
670,9.30,3.50,6.00,3.80,1.40,3.52,High,18.00
671,6.40,3.20,10.00,0.10,4.30,3.01,Moderate,14.00
672,9.90,1.90,9.20,0.20,2.80,3.65,High,14.80
673,6.70,0.30,9.90,4.90,2.20,2.96,Moderate,14.10
674,5.40,0.80,6.10,2.80,8.90,2.66,Low,17.90
675,6.30,0.40,5.80,0.90,10.60,2.93,High,18.20
676,6.40,3.20,6.60,1.80,6.00,3.06,Moderate,17.40
677,6.20,0.50,6.30,2.10,8.90,2.84,Moderate,17.70
678,6.10,3.20,5.70,2.10,6.90,2.95,High,18.30
679,9.30,0.60,5.40,2.90,5.80,3.51,High,18.60
680,9.00,0.50,7.90,3.00,3.60,2.99,High,16.10
681,5.70,2.50,6.40,2.90,6.50,2.84,Low,17.60
682,6.50,3.30,5.30,2.50,6.40,2.81,High,18.70
683,7.30,2.90,7.90,3.90,2.00,3.19,Moderate,16.10
684,6.60,2.20,9.20,5.90,0.10,3.06,Moderate,14.80
685,9.40,1.50,6.00,2.90,4.20,3.40,High,18.00
686,7.40,3.40,6.80,5.20,1.20,3.45,Moderate,17.20
687,7.00,1.30,7.30,4.60,3.80,3.00,Moderate,16.70
688,9.80,0.70,7.80,3.30,2.40,3.41,High,16.20
689,7.40,2.60,6.10,3.30,4.60,3.41,Moderate,17.90
690,5.70,2.30,5.90,1.70,8.40,2.62,High,18.10
691,6.10,0.70,9.10,1.70,6.40,2.69,Moderate,14.90
692,6.90,3.20,6.80,0.50,6.60,3.08,Moderate,17.20
693,7.80,3.40,9.00,0.70,3.10,2.95,Moderate,15.00
694,6.10,3.50,6.20,1.60,6.60,3.05,Moderate,17.80
695,5.00,3.50,9.00,3.80,2.70,2.62,Low,15.00
696,7.30,1.40,5.50,2.90,6.90,3.19,High,18.50
697,9.60,0.20,6.50,1.20,6.50,3.50,High,17.50
698,7.30,1.90,8.80,0.90,5.10,3.06,Moderate,15.20
699,7.40,1.70,8.00,6.00,0.90,3.00,Moderate,16.00
700,9.10,0.70,5.20,1.20,7.80,3.64,High,18.80
701,6.70,2.00,8.10,5.50,1.70,3.11,Moderate,15.90
702,5.30,0.10,7.80,2.60,8.20,3.58,Low,16.20
703,9.20,0.60,5.10,2.70,6.40,3.27,High,18.90
704,8.00,1.10,5.90,2.30,6.70,3.27,High,18.10
705,9.00,1.60,8.80,0.60,4.00,3.20,High,15.20
706,8.40,2.30,9.60,1.40,2.30,3.41,High,14.40
707,5.30,0.10,9.10,3.10,6.40,2.65,Low,14.90
708,6.70,0.10,9.80,4.00,3.40,3.15,Moderate,14.20
709,9.70,1.10,8.10,3.50,1.60,3.63,High,15.90
710,9.70,3.50,8.70,0.60,1.50,3.36,High,15.30
711,6.40,3.90,5.10,4.30,4.30,3.14,High,18.90
712,10.00,1.20,6.70,0.50,5.60,3.79,High,17.30
713,7.20,1.00,6.70,5.00,4.10,3.21,Moderate,17.30
714,5.30,0.40,5.80,3.60,8.90,2.76,High,18.20
715,5.80,3.90,7.20,3.00,4.10,2.83,Low,16.80
716,8.30,3.00,8.80,2.30,1.60,2.92,High,15.20
717,9.50,3.30,8.80,0.10,2.30,3.24,High,15.20
718,7.00,3.50,9.50,3.60,0.40,3.40,Moderate,14.50
719,6.60,2.80,6.40,1.10,7.10,2.88,Moderate,17.60
720,7.10,3.30,5.60,4.40,3.60,2.85,High,18.40
721,7.70,1.20,7.50,1.80,5.80,2.88,Moderate,16.50
722,5.80,0.50,7.70,5.40,4.60,3.27,Low,16.30
723,6.70,2.90,8.30,5.60,0.50,3.06,Moderate,15.70
724,8.30,3.60,7.00,1.70,3.40,3.50,High,17.00
725,5.10,3.30,9.00,0.60,6.00,2.54,Low,15.00
726,5.60,3.90,6.10,0.40,8.00,3.32,Low,17.90
727,8.00,3.00,5.20,4.00,3.80,3.01,High,18.80
728,5.90,2.30,6.50,5.60,3.70,2.90,Low,17.50
729,9.10,3.90,6.30,4.60,0.10,2.98,High,17.70
730,5.30,0.20,8.50,2.70,7.30,2.62,Low,15.50
731,6.10,2.50,6.30,3.50,5.60,3.13,Moderate,17.70
732,9.10,1.90,6.80,2.20,4.00,3.27,High,17.20
733,9.00,1.30,6.00,0.50,7.20,3.05,High,18.00
734,9.20,0.90,6.90,4.90,2.10,2.81,High,17.10
735,9.10,1.50,7.30,1.80,4.30,3.40,High,16.70
736,7.70,0.10,7.40,2.40,6.40,3.24,Moderate,16.60
737,5.80,2.60,9.90,3.20,2.50,2.80,Low,14.10
738,7.10,0.50,8.10,5.60,2.70,3.10,Moderate,15.90
739,8.30,0.30,6.80,3.30,5.30,3.48,High,17.20
740,9.10,2.40,6.90,1.40,4.20,3.30,High,17.10
741,5.50,1.40,7.10,4.10,5.90,2.71,Low,16.90
742,7.00,0.70,5.80,5.00,5.50,3.09,High,18.20
743,5.20,1.70,5.80,5.30,6.00,2.48,High,18.20
744,7.50,2.90,9.80,0.80,3.00,3.19,Moderate,14.20
745,9.40,3.70,9.60,0.80,0.50,3.16,High,14.40
746,8.80,2.10,8.40,2.00,2.70,3.66,High,15.60
747,8.70,3.30,5.70,5.00,1.30,3.55,High,18.30
748,7.20,1.50,9.60,1.40,4.30,3.11,Moderate,14.40
749,9.20,1.90,7.60,1.60,3.70,3.02,High,16.40
750,5.20,1.10,5.00,5.90,6.80,2.93,High,19.00
751,9.80,1.60,8.60,1.40,2.60,3.68,High,15.40
752,9.70,1.60,8.90,1.00,2.80,3.57,High,15.10
753,10.00,0.10,8.00,3.90,2.00,3.35,High,16.00
754,9.70,0.70,8.10,1.20,4.30,3.53,High,15.90
755,6.50,2.20,7.10,1.00,7.20,2.91,Moderate,16.90
756,8.80,3.60,5.40,2.40,3.80,3.08,High,18.60
757,5.50,0.10,8.30,3.60,6.50,2.73,Low,15.70
758,5.10,3.30,9.90,0.80,4.90,2.64,Low,14.10
759,6.20,3.50,9.60,2.00,2.70,2.55,Moderate,14.40
760,5.10,2.30,5.10,4.70,6.80,3.03,High,18.90
761,6.50,0.20,7.90,2.40,7.00,2.98,Moderate,16.10
762,6.40,2.80,6.40,5.40,3.00,3.05,Moderate,17.60
763,6.90,2.20,5.30,2.60,7.00,3.12,High,18.70
764,6.10,0.90,9.10,5.60,2.30,3.01,Moderate,14.90
765,5.50,1.80,6.70,5.20,4.80,2.24,Low,17.30
766,6.70,1.60,7.60,1.00,7.10,2.93,Moderate,16.40
767,7.90,3.20,8.80,0.60,3.50,3.09,Moderate,15.20
768,6.80,1.60,8.40,0.30,6.90,2.88,Moderate,15.60
769,5.20,1.60,8.50,1.20,7.50,2.52,Low,15.50
770,9.40,3.60,6.50,1.00,3.50,3.57,High,17.50
771,7.10,1.00,8.40,5.00,2.50,3.26,Moderate,15.60
772,7.00,0.60,8.70,2.20,5.50,3.15,Moderate,15.30
773,8.40,1.10,5.40,6.00,3.10,3.44,High,18.60
774,9.30,1.20,7.30,3.70,2.50,3.76,High,16.70
775,7.10,1.70,6.70,3.40,5.10,2.99,Moderate,17.30
776,9.70,2.80,9.10,1.30,1.10,3.54,High,14.90
777,8.90,0.10,9.10,0.20,5.70,3.14,High,14.90
778,8.80,1.00,9.30,0.50,4.40,3.18,High,14.70
779,5.60,3.90,8.40,5.10,1.00,3.08,Low,15.60
780,8.00,2.40,8.40,3.00,2.20,2.96,Moderate,15.60
781,7.10,1.10,8.80,1.40,5.60,2.85,Moderate,15.20
782,8.10,3.00,6.10,0.40,6.40,3.37,High,17.90
783,5.70,2.40,9.20,0.30,6.40,2.69,Low,14.80
784,7.40,3.70,6.70,2.80,3.40,3.36,Moderate,17.30
785,5.10,0.30,6.30,0.20,12.10,2.55,Low,17.70
786,7.70,0.70,6.50,4.00,5.10,3.54,Moderate,17.50
787,9.80,0.20,9.50,2.60,1.90,3.47,High,14.50
788,5.30,0.40,8.00,2.00,8.30,3.37,Low,16.00
789,9.60,1.60,5.70,4.30,2.80,3.49,High,18.30
790,8.50,3.60,9.00,2.00,0.90,2.90,High,15.00
791,8.40,3.80,6.50,0.00,5.30,3.08,High,17.50
792,8.30,2.50,8.00,0.10,5.10,3.10,High,16.00
793,8.60,1.30,8.30,3.20,2.60,3.11,High,15.70
794,5.50,3.30,9.60,3.60,2.00,2.75,Low,14.40
795,5.50,1.60,8.60,4.70,3.60,2.64,Low,15.40
796,6.30,0.10,7.70,5.10,4.80,3.22,Moderate,16.30
797,9.80,2.30,7.60,0.40,3.90,3.04,High,16.40
798,8.00,1.60,6.20,0.60,7.60,3.38,Moderate,17.80
799,6.60,0.40,5.90,5.90,5.20,3.27,High,18.10
800,9.40,4.00,7.90,2.20,0.50,2.91,High,16.10
801,6.60,1.20,7.00,4.00,5.20,2.76,Moderate,17.00
802,5.70,2.50,5.60,3.50,6.70,3.08,High,18.40
803,8.50,2.80,8.80,3.40,0.50,3.63,High,15.20
804,8.10,0.70,5.10,1.70,8.40,3.21,High,18.90
805,7.20,2.50,9.20,1.00,4.10,3.07,Moderate,14.80
806,7.90,2.20,5.40,0.30,8.20,2.99,High,18.60
807,5.50,2.30,7.70,1.40,7.10,3.05,Low,16.30
808,5.20,2.00,8.40,1.50,6.90,2.88,Low,15.60
809,6.50,2.50,9.50,4.50,1.00,3.29,Moderate,14.50
810,6.80,2.60,7.30,1.10,6.20,3.13,Moderate,16.70
811,8.50,2.20,6.80,5.50,1.00,3.07,High,17.20
812,8.40,1.60,8.80,2.40,2.80,3.51,High,15.20
813,7.10,3.70,6.30,0.70,6.20,3.15,Moderate,17.70
814,6.90,0.20,6.70,3.00,7.20,3.05,Moderate,17.30
815,5.80,2.60,10.00,2.50,3.10,2.64,Low,14.00
816,5.60,3.50,7.10,2.30,5.50,2.50,Low,16.90
817,8.30,1.80,8.20,0.40,5.30,3.33,High,15.80
818,5.80,1.90,8.00,3.50,4.80,2.90,Low,16.00
819,7.00,1.40,5.60,2.40,7.60,3.15,High,18.40
820,6.00,0.20,7.80,3.60,6.40,2.75,Moderate,16.20
821,9.40,2.30,6.70,4.50,1.10,3.25,High,17.30
822,7.80,3.60,7.00,1.70,3.90,3.19,Moderate,17.00
823,5.70,0.60,7.20,3.60,6.90,2.96,Low,16.80
824,9.10,0.30,7.40,3.80,3.40,3.66,High,16.60
825,9.10,3.10,6.40,5.10,0.30,3.45,High,17.60
826,7.90,3.70,8.40,1.90,2.10,2.68,Moderate,15.60
827,9.00,3.80,5.10,5.90,0.20,3.22,High,18.90
828,7.20,2.60,6.90,0.30,7.00,3.00,Moderate,17.10
829,8.00,3.60,6.90,1.20,4.30,3.08,Moderate,17.10
830,9.10,3.30,7.90,1.30,2.40,3.35,High,16.10
831,9.00,2.20,9.10,2.30,1.40,3.44,High,14.90
832,7.10,3.80,7.70,3.30,2.10,3.33,Moderate,16.30
833,6.10,2.50,7.90,1.10,6.40,2.94,Moderate,16.10
834,8.80,2.10,6.10,4.00,3.00,3.20,High,17.90
835,5.40,1.80,5.80,1.10,9.90,2.71,High,18.20
836,5.30,1.60,7.60,2.90,6.60,2.54,Low,16.40
